Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
8,Mark Andrews,TE,23.009,2019-09-15,NFL,BAL,"",ARI,W 23-17,2,2,Sun,17.20,25.2,28.2,21.2,0,0,0,0,0,0,0,0,8,112,1,1,"","","",""
9,Aaron Jones,RB,24.287,2019-09-15,NFL,GNB,"",MIN,W 21-16,2,2,Sun,21.00,25.0,28.0,23.0,0,0,0,0,0,23,116,1,4,34,0,0,"","","",""
10,Nelson Agholor,WR,26.114,2019-09-15,NFL,PHI,@,ATL,L 20-24,2,2,Sun,16.70,24.7,27.7,20.7,0,0,0,0,0,0,0,0,8,107,1,0,"","","",""
11,Calvin Ridley,WR,24.269,2019-09-15,NFL,ATL,"",PHI,W 24-20,2,2,Sun,16.50,24.5,27.5,20.5,0,0,0,0,0,0,0,0,8,105,1,0,"","","",""
12,Raheem Mostert,RB,27.159,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,21.10,24.1,24.1,22.6,0,0,0,0,0,13,83,0,3,68,1,0,"","","",""
13,Travis Kelce,TE,29.345,2019-09-15,NFL,KAN,@,OAK,W 28-10,2,2,Sun,16.70,23.7,26.7,20.2,0,0,0,0,0,0,0,0,7,107,1,0,"","","",""
14,Austin Ekeler,RB,24.121,2019-09-15,NFL,LAC,@,DET,L 10-13,2,2,Sun,17.30,23.3,24.3,20.3,0,0,0,0,0,17,66,1,6,67,0,1,"","","",""
15,Vance McDonald,TE,29.094,2019-09-15,NFL,PIT,"",SEA,L 26-28,2,2,Sun,15.80,22.8,22.8,19.3,0,0,0,0,0,0,0,0,7,38,2,0,"","","",""
16,Saquon Barkley,RB,22.218,2019-09-15,NFL,NYG,"",BUF,L 14-28,2,2,Sun,19.50,22.5,25.5,21.0,0,0,0,0,0,18,107,1,3,28,0,0,"","","",""
17,Tyler Boyd,WR,24.304,2019-09-15,NFL,CIN,"",SFO,L 17-41,2,2,Sun,12.20,22.2,25.2,17.2,0,0,0,0,0,0,0,0,10,122,0,0,"","","",""
18,Will Dissly,TE,23.069,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,17.00,22.0,22.0,19.5,0,0,0,0,0,0,0,0,5,50,2,0,"","","",""
19,John Ross,WR,24.292,2019-09-15,NFL,CIN,"",SFO,L 17-41,2,2,Sun,17.20,21.2,24.2,19.2,0,0,0,0,0,0,0,0,4,112,1,0,"","","",""
20,Le'Veon Bell,RB,27.210,2019-09-16,NFL,NYJ,"",CLE,L 3-23,2,2,Mon,10.90,20.9,21.9,15.9,0,0,0,0,0,21,68,0,10,61,0,1,"","","",""
Rk,Player,Pos,Age,Date,Lg,Tm,"",Opp,Result,G#,Week,Day,FantPt,PPR,DKPt,FDPt,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb,FGM,FGA,XPM,XPA
21,Deebo Samuel,WR,23.243,2019-09-15,NFL,SFO,@,CIN,W 41-17,2,2,Sun,15.30,20.3,20.3,17.8,0,0,0,0,0,2,7,0,5,86,1,0,"","","",""
22,Ezekiel Elliott,RB,24.055,2019-09-15,NFL,DAL,@,WAS,W 31-21,2,2,Sun,18.00,20.0,23.0,19.0,0,0,0,0,0,23,111,1,2,9,0,0,"","","",""
23,Nick Chubb,RB,23.263,2019-09-16,NFL,CLE,@,NYJ,W 23-3,2,2,Mon,15.80,19.8,19.8,17.8,0,0,0,0,0,18,62,1,4,36,0,0,"","","",""
24,Michael Thomas,WR,26.196,2019-09-15,NFL,NOR,@,LAR,L 9-27,2,2,Sun,8.90,18.9,18.9,13.9,0,0,0,0,0,0,0,0,10,89,0,0,"","","",""
25,DJ Chark,WR,22.357,2019-09-15,NFL,JAX,@,HOU,L 12-13,2,2,Sun,11.50,18.5,18.5,15.0,0,0,0,0,0,0,0,0,7,55,1,0,"","","",""
26,Tyler Lockett,WR,26.352,2019-09-15,NFL,SEA,@,PIT,W 28-26,2,2,Sun,7.90,17.9,17.9,12.9,0,0,0,0,0,0,0,0,10,79,0,0,"","","",""
27,D.J. Moore,WR,22.151,2019-09-12,NFL,CAR,"",TAM,L 14-20,2,2,Thu,8.90,17.9,17.9,13.4,0,0,0,0,0,0,0,0,9,89,0,0,"","","",""
